D,Proposed,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan11,Yuan15,ProposedLTT,ProposedLTB,ProposedLTT2,ProposedLTTv2
13.0,45.625,45.375,24.0419921875,152.0419921875,22.7919921875,91.2509765625,706.501953125,24.2509765625,-18.375,11.875,75.875,172.125,11.12548828125
14.0,46.111328125,46.111328125,24.5283203125,152.5283203125,23.0283203125,92.2236328125,710.447265625,24.7236328125,-17.888671875,12.361328125,76.361328125,172.611328125,11.36181640625
15.0,46.111328125,46.111328125,24.5283203125,152.5283203125,23.0283203125,92.2236328125,710.447265625,24.7236328125,-17.888671875,12.361328125,76.361328125,172.611328125,11.36181640625
16.0,46.595703125,46.595703125,25.0126953125,153.0126953125,23.2626953125,93.1923828125,714.384765625,25.1923828125,-17.404296875,12.345703125,76.345703125,173.095703125,10.59619140625
17.0,46.595703125,46.595703125,25.0126953125,153.0126953125,23.2626953125,93.1923828125,714.384765625,25.1923828125,-17.404296875,12.345703125,76.345703125,173.095703125,10.59619140625
18.0,47.078125,46.828125,25.4951171875,153.4951171875,23.4951171875,94.1572265625,718.314453125,25.6572265625,-16.921875,12.828125,76.828125,173.578125,10.82861328125
19.0,47.078125,46.828125,25.4951171875,153.4951171875,23.4951171875,94.1572265625,718.314453125,25.6572265625,-16.921875,12.828125,76.828125,173.578125,10.82861328125
20.0,47.55859375,47.30859375,25.9755859375,153.9755859375,23.7255859375,95.1181640625,722.236328125,26.1181640625,-16.44140625,12.80859375,76.80859375,174.05859375,11.05908203125
21.0,47.55859375,47.30859375,25.9755859375,153.9755859375,23.7255859375,95.1181640625,722.236328125,26.1181640625,-16.44140625,12.80859375,76.80859375,174.05859375,11.05908203125
22.0,48.037109375,48.037109375,26.4541015625,154.4541015625,23.9541015625,96.0751953125,726.150390625,26.5751953125,-15.962890625,13.287109375,77.287109375,174.537109375,11.28759765625
23.0,48.037109375,48.037109375,26.4541015625,154.4541015625,23.9541015625,96.0751953125,726.150390625,26.5751953125,-15.962890625,13.287109375,77.287109375,174.537109375,11.28759765625
24.0,48.513671875,48.513671875,26.9306640625,154.9306640625,24.1806640625,97.0283203125,730.056640625,27.0283203125,-15.486328125,13.263671875,77.263671875,175.013671875,11.51416015625
25.0,48.513671875,48.513671875,26.9306640625,154.9306640625,24.1806640625,97.0283203125,730.056640625,27.0283203125,-15.486328125,13.263671875,77.263671875,175.013671875,11.51416015625
26.0,48.98828125,48.73828125,27.4052734375,155.4052734375,24.4052734375,97.9775390625,733.955078125,27.4775390625,-15.01171875,13.73828125,77.73828125,175.48828125,11.73876953125
27.0,48.98828125,48.73828125,27.4052734375,155.4052734375,24.4052734375,97.9775390625,733.955078125,27.4775390625,-15.01171875,13.73828125,77.73828125,175.48828125,11.73876953125
28.0,49.4609375,49.2109375,27.8779296875,155.8779296875,24.6279296875,98.9228515625,737.845703125,27.9228515625,-14.5390625,13.7109375,77.7109375,175.9609375,11.96142578125
29.0,49.4609375,49.2109375,27.8779296875,155.8779296875,24.6279296875,98.9228515625,737.845703125,27.9228515625,-14.5390625,13.7109375,77.7109375,175.9609375,11.96142578125
30.0,49.931640625,49.931640625,28.3486328125,156.3486328125,24.8486328125,99.8642578125,741.728515625,28.3642578125,-14.068359375,14.181640625,78.181640625,176.431640625,12.18212890625
31.0,49.931640625,49.931640625,28.3486328125,156.3486328125,24.8486328125,99.8642578125,741.728515625,28.3642578125,-14.068359375,14.181640625,78.181640625,176.431640625,12.18212890625
32.0,50.400390625,50.400390625,28.8173828125,156.8173828125,25.0673828125,100.8017578125,745.603515625,28.8017578125,-13.599609375,14.150390625,78.150390625,176.900390625,10.40087890625
33.0,50.400390625,50.400390625,28.8173828125,156.8173828125,25.0673828125,100.8017578125,745.603515625,28.8017578125,-13.599609375,14.150390625,78.150390625,176.900390625,10.40087890625
34.0,50.8671875,50.6171875,29.2841796875,157.2841796875,25.2841796875,101.7353515625,749.470703125,29.2353515625,-13.1328125,14.6171875,78.6171875,177.3671875,10.61767578125
35.0,50.8671875,50.6171875,29.2841796875,157.2841796875,25.2841796875,101.7353515625,749.470703125,29.2353515625,-13.1328125,14.6171875,78.6171875,177.3671875,10.61767578125
36.0,51.33203125,51.08203125,29.7490234375,157.7490234375,25.4990234375,102.6650390625,753.330078125,29.6650390625,-12.66796875,14.58203125,78.58203125,177.83203125,10.83251953125
37.0,51.33203125,51.08203125,29.7490234375,157.7490234375,25.4990234375,102.6650390625,753.330078125,29.6650390625,-12.66796875,14.58203125,78.58203125,177.83203125,10.83251953125
38.0,51.794921875,51.794921875,30.2119140625,158.2119140625,25.7119140625,103.5908203125,757.181640625,30.0908203125,-12.205078125,15.044921875,79.044921875,178.294921875,11.04541015625
39.0,51.794921875,51.794921875,30.2119140625,158.2119140625,25.7119140625,103.5908203125,757.181640625,30.0908203125,-12.205078125,15.044921875,79.044921875,178.294921875,11.04541015625
40.0,52.255859375,52.255859375,30.6728515625,158.6728515625,25.9228515625,104.5126953125,761.025390625,30.5126953125,-11.744140625,15.005859375,79.005859375,178.755859375,11.25634765625
41.0,52.255859375,52.255859375,30.6728515625,158.6728515625,25.9228515625,104.5126953125,761.025390625,30.5126953125,-11.744140625,15.005859375,79.005859375,178.755859375,11.25634765625
42.0,52.71484375,52.46484375,31.1318359375,159.1318359375,26.1318359375,105.4306640625,764.861328125,30.9306640625,-11.28515625,15.46484375,79.46484375,179.21484375,11.46533203125
43.0,52.71484375,52.46484375,31.1318359375,159.1318359375,26.1318359375,105.4306640625,764.861328125,30.9306640625,-11.28515625,15.46484375,79.46484375,179.21484375,11.46533203125
44.0,53.171875,52.921875,31.5888671875,159.5888671875,26.3388671875,106.3447265625,768.689453125,31.3447265625,-10.828125,15.421875,79.421875,179.671875,11.67236328125
45.0,53.171875,52.921875,31.5888671875,159.5888671875,26.3388671875,106.3447265625,768.689453125,31.3447265625,-10.828125,15.421875,79.421875,179.671875,11.67236328125
46.0,53.626953125,53.626953125,32.0439453125,160.0439453125,26.5439453125,107.2548828125,772.509765625,31.7548828125,-10.373046875,15.876953125,79.876953125,180.126953125,11.87744140625
47.0,53.626953125,53.626953125,32.0439453125,160.0439453125,26.5439453125,107.2548828125,772.509765625,31.7548828125,-10.373046875,15.876953125,79.876953125,180.126953125,11.87744140625
48.0,54.080078125,54.080078125,32.4970703125,160.4970703125,26.7470703125,108.1611328125,776.322265625,32.1611328125,-9.919921875,15.830078125,79.830078125,180.580078125,12.08056640625
49.0,54.080078125,54.080078125,32.4970703125,160.4970703125,26.7470703125,108.1611328125,776.322265625,32.1611328125,-9.919921875,15.830078125,79.830078125,180.580078125,12.08056640625
50.0,54.53125,54.28125,32.9482421875,160.9482421875,26.9482421875,109.0634765625,780.126953125,32.5634765625,-9.46875,16.28125,80.28125,181.03125,12.28173828125
51.0,54.53125,54.28125,32.9482421875,160.9482421875,26.9482421875,109.0634765625,780.126953125,32.5634765625,-9.46875,16.28125,80.28125,181.03125,12.28173828125
52.0,54.98046875,54.73046875,33.3974609375,161.3974609375,27.1474609375,109.9619140625,783.923828125,32.9619140625,-9.01953125,16.23046875,80.23046875,181.48046875,12.48095703125
53.0,54.98046875,54.73046875,33.3974609375,161.3974609375,27.1474609375,109.9619140625,783.923828125,32.9619140625,-9.01953125,16.23046875,80.23046875,181.48046875,12.48095703125
54.0,55.427734375,55.427734375,33.8447265625,161.8447265625,27.3447265625,110.8564453125,787.712890625,33.3564453125,-8.572265625,16.677734375,80.677734375,181.927734375,12.67822265625
55.0,55.427734375,55.427734375,33.8447265625,161.8447265625,27.3447265625,110.8564453125,787.712890625,33.3564453125,-8.572265625,16.677734375,80.677734375,181.927734375,12.67822265625
56.0,55.873046875,55.873046875,34.2900390625,162.2900390625,27.5400390625,111.7470703125,791.494140625,33.7470703125,-8.126953125,16.623046875,80.623046875,182.373046875,12.87353515625
57.0,55.873046875,55.873046875,34.2900390625,162.2900390625,27.5400390625,111.7470703125,791.494140625,33.7470703125,-8.126953125,16.623046875,80.623046875,182.373046875,12.87353515625
58.0,56.31640625,56.06640625,34.7333984375,162.7333984375,27.7333984375,112.6337890625,795.267578125,34.1337890625,-7.68359375,17.06640625,81.06640625,182.81640625,13.06689453125
59.0,56.31640625,56.06640625,34.7333984375,162.7333984375,27.7333984375,112.6337890625,795.267578125,34.1337890625,-7.68359375,17.06640625,81.06640625,182.81640625,13.06689453125
60.0,56.7578125,56.5078125,35.1748046875,163.1748046875,27.9248046875,113.5166015625,799.033203125,34.5166015625,-7.2421875,17.0078125,81.0078125,183.2578125,13.25830078125
61.0,56.7578125,56.5078125,35.1748046875,163.1748046875,27.9248046875,113.5166015625,799.033203125,34.5166015625,-7.2421875,17.0078125,81.0078125,183.2578125,13.25830078125
62.0,57.197265625,57.197265625,35.6142578125,163.6142578125,28.1142578125,114.3955078125,802.791015625,34.8955078125,-6.802734375,17.447265625,81.447265625,183.697265625,13.44775390625
63.0,57.197265625,57.197265625,35.6142578125,163.6142578125,28.1142578125,114.3955078125,802.791015625,34.8955078125,-6.802734375,17.447265625,81.447265625,183.697265625,13.44775390625
64.0,57.634765625,57.634765625,36.0517578125,164.0517578125,28.3017578125,115.2705078125,806.541015625,35.2705078125,-6.365234375,17.384765625,81.384765625,184.134765625,9.63525390625
65.0,57.634765625,57.634765625,36.0517578125,164.0517578125,28.3017578125,115.2705078125,806.541015625,35.2705078125,-6.365234375,17.384765625,81.384765625,184.134765625,9.63525390625
66.0,58.0703125,57.8203125,36.4873046875,164.4873046875,28.4873046875,116.1416015625,810.283203125,35.6416015625,-5.9296875,17.8203125,81.8203125,184.5703125,9.82080078125
67.0,58.0703125,57.8203125,36.4873046875,164.4873046875,28.4873046875,116.1416015625,810.283203125,35.6416015625,-5.9296875,17.8203125,81.8203125,184.5703125,9.82080078125
68.0,58.50390625,58.25390625,36.9208984375,164.9208984375,28.6708984375,117.0087890625,814.017578125,36.0087890625,-5.49609375,17.75390625,81.75390625,185.00390625,10.00439453125
69.0,58.50390625,58.25390625,36.9208984375,164.9208984375,28.6708984375,117.0087890625,814.017578125,36.0087890625,-5.49609375,17.75390625,81.75390625,185.00390625,10.00439453125
70.0,58.935546875,58.935546875,37.3525390625,165.3525390625,28.8525390625,117.8720703125,817.744140625,36.3720703125,-5.064453125,18.185546875,82.185546875,185.435546875,10.18603515625
71.0,58.935546875,58.935546875,37.3525390625,165.3525390625,28.8525390625,117.8720703125,817.744140625,36.3720703125,-5.064453125,18.185546875,82.185546875,185.435546875,10.18603515625
72.0,59.365234375,59.365234375,37.7822265625,165.7822265625,29.0322265625,118.7314453125,821.462890625,36.7314453125,-4.634765625,18.115234375,82.115234375,185.865234375,10.36572265625
73.0,59.365234375,59.365234375,37.7822265625,165.7822265625,29.0322265625,118.7314453125,821.462890625,36.7314453125,-4.634765625,18.115234375,82.115234375,185.865234375,10.36572265625
74.0,59.79296875,59.54296875,38.2099609375,166.2099609375,29.2099609375,119.5869140625,825.173828125,37.0869140625,-4.20703125,18.54296875,82.54296875,186.29296875,10.54345703125
75.0,59.79296875,59.54296875,38.2099609375,166.2099609375,29.2099609375,119.5869140625,825.173828125,37.0869140625,-4.20703125,18.54296875,82.54296875,186.29296875,10.54345703125
76.0,60.21875,59.96875,38.6357421875,166.6357421875,29.3857421875,120.4384765625,828.876953125,37.4384765625,-3.78125,18.46875,82.46875,186.71875,10.71923828125
77.0,60.21875,59.96875,38.6357421875,166.6357421875,29.3857421875,120.4384765625,828.876953125,37.4384765625,-3.78125,18.46875,82.46875,186.71875,10.71923828125
78.0,60.642578125,60.642578125,39.0595703125,167.0595703125,29.5595703125,121.2861328125,832.572265625,37.7861328125,-3.357421875,18.892578125,82.892578125,187.142578125,10.89306640625
79.0,60.642578125,60.642578125,39.0595703125,167.0595703125,29.5595703125,121.2861328125,832.572265625,37.7861328125,-3.357421875,18.892578125,82.892578125,187.142578125,10.89306640625
80.0,61.064453125,61.064453125,39.4814453125,167.4814453125,29.7314453125,122.1298828125,836.259765625,38.1298828125,-2.935546875,18.814453125,82.814453125,187.564453125,11.06494140625
81.0,61.064453125,61.064453125,39.4814453125,167.4814453125,29.7314453125,122.1298828125,836.259765625,38.1298828125,-2.935546875,18.814453125,82.814453125,187.564453125,11.06494140625
82.0,61.484375,61.234375,39.9013671875,167.9013671875,29.9013671875,122.9697265625,839.939453125,38.4697265625,-2.515625,19.234375,83.234375,187.984375,11.23486328125
83.0,61.484375,61.234375,39.9013671875,167.9013671875,29.9013671875,122.9697265625,839.939453125,38.4697265625,-2.515625,19.234375,83.234375,187.984375,11.23486328125
84.0,61.90234375,61.65234375,40.3193359375,168.3193359375,30.0693359375,123.8056640625,843.611328125,38.8056640625,-2.09765625,19.15234375,83.15234375,188.40234375,11.40283203125
85.0,61.90234375,61.65234375,40.3193359375,168.3193359375,30.0693359375,123.8056640625,843.611328125,38.8056640625,-2.09765625,19.15234375,83.15234375,188.40234375,11.40283203125
86.0,62.318359375,62.318359375,40.7353515625,168.7353515625,30.2353515625,124.6376953125,847.275390625,39.1376953125,-1.681640625,19.568359375,83.568359375,188.818359375,11.56884765625
87.0,62.318359375,62.318359375,40.7353515625,168.7353515625,30.2353515625,124.6376953125,847.275390625,39.1376953125,-1.681640625,19.568359375,83.568359375,188.818359375,11.56884765625
88.0,62.732421875,62.732421875,41.1494140625,169.1494140625,30.3994140625,125.4658203125,850.931640625,39.4658203125,-1.267578125,19.482421875,83.482421875,189.232421875,11.73291015625
89.0,62.732421875,62.732421875,41.1494140625,169.1494140625,30.3994140625,125.4658203125,850.931640625,39.4658203125,-1.267578125,19.482421875,83.482421875,189.232421875,11.73291015625
90.0,63.14453125,62.89453125,41.5615234375,169.5615234375,30.5615234375,126.2900390625,854.580078125,39.7900390625,-0.85546875,19.89453125,83.89453125,189.64453125,11.89501953125
91.0,63.14453125,62.89453125,41.5615234375,169.5615234375,30.5615234375,126.2900390625,854.580078125,39.7900390625,-0.85546875,19.89453125,83.89453125,189.64453125,11.89501953125
92.0,63.5546875,63.3046875,41.9716796875,169.9716796875,30.7216796875,127.1103515625,858.220703125,40.1103515625,-0.4453125,19.8046875,83.8046875,190.0546875,12.05517578125
93.0,63.5546875,63.3046875,41.9716796875,169.9716796875,30.7216796875,127.1103515625,858.220703125,40.1103515625,-0.4453125,19.8046875,83.8046875,190.0546875,12.05517578125
94.0,63.962890625,63.962890625,42.3798828125,170.3798828125,30.8798828125,127.9267578125,861.853515625,40.4267578125,-0.037109375,20.212890625,84.212890625,190.462890625,12.21337890625
95.0,63.962890625,63.962890625,42.3798828125,170.3798828125,30.8798828125,127.9267578125,861.853515625,40.4267578125,-0.037109375,20.212890625,84.212890625,190.462890625,12.21337890625
96.0,64.369140625,64.369140625,42.7861328125,170.7861328125,31.0361328125,128.7392578125,865.478515625,40.7392578125,0.369140625,20.119140625,84.119140625,190.869140625,12.36962890625
97.0,64.369140625,64.369140625,42.7861328125,170.7861328125,31.0361328125,128.7392578125,865.478515625,40.7392578125,0.369140625,20.119140625,84.119140625,190.869140625,12.36962890625
98.0,64.7734375,64.5234375,43.1904296875,171.1904296875,31.1904296875,129.5478515625,869.095703125,41.0478515625,0.7734375,20.5234375,84.5234375,191.2734375,12.52392578125
99.0,64.7734375,64.5234375,43.1904296875,171.1904296875,31.1904296875,129.5478515625,869.095703125,41.0478515625,0.7734375,20.5234375,84.5234375,191.2734375,12.52392578125
100.0,65.17578125,64.92578125,43.5927734375,171.5927734375,31.3427734375,130.3525390625,872.705078125,41.3525390625,1.17578125,20.42578125,84.42578125,191.67578125,12.67626953125
101.0,65.17578125,64.92578125,43.5927734375,171.5927734375,31.3427734375,130.3525390625,872.705078125,41.3525390625,1.17578125,20.42578125,84.42578125,191.67578125,12.67626953125
102.0,65.576171875,65.576171875,43.9931640625,171.9931640625,31.4931640625,131.1533203125,876.306640625,41.6533203125,1.576171875,20.826171875,84.826171875,192.076171875,12.82666015625
103.0,65.576171875,65.576171875,43.9931640625,171.9931640625,31.4931640625,131.1533203125,876.306640625,41.6533203125,1.576171875,20.826171875,84.826171875,192.076171875,12.82666015625
104.0,65.974609375,65.974609375,44.3916015625,172.3916015625,31.6416015625,131.9501953125,879.900390625,41.9501953125,1.974609375,20.724609375,84.724609375,192.474609375,12.97509765625
105.0,65.974609375,65.974609375,44.3916015625,172.3916015625,31.6416015625,131.9501953125,879.900390625,41.9501953125,1.974609375,20.724609375,84.724609375,192.474609375,12.97509765625
106.0,66.37109375,66.12109375,44.7880859375,172.7880859375,31.7880859375,132.7431640625,883.486328125,42.2431640625,2.37109375,21.12109375,85.12109375,192.87109375,13.12158203125
107.0,66.37109375,66.12109375,44.7880859375,172.7880859375,31.7880859375,132.7431640625,883.486328125,42.2431640625,2.37109375,21.12109375,85.12109375,192.87109375,13.12158203125
108.0,66.765625,66.515625,45.1826171875,173.1826171875,31.9326171875,133.5322265625,887.064453125,42.5322265625,2.765625,21.015625,85.015625,193.265625,13.26611328125
109.0,66.765625,66.515625,45.1826171875,173.1826171875,31.9326171875,133.5322265625,887.064453125,42.5322265625,2.765625,21.015625,85.015625,193.265625,13.26611328125
110.0,67.158203125,67.158203125,45.5751953125,173.5751953125,32.0751953125,134.3173828125,890.634765625,42.8173828125,3.158203125,21.408203125,85.408203125,193.658203125,13.40869140625
111.0,67.158203125,67.158203125,45.5751953125,173.5751953125,32.0751953125,134.3173828125,890.634765625,42.8173828125,3.158203125,21.408203125,85.408203125,193.658203125,13.40869140625
112.0,67.548828125,67.548828125,45.9658203125,173.9658203125,32.2158203125,135.0986328125,894.197265625,43.0986328125,3.548828125,21.298828125,85.298828125,194.048828125,13.54931640625
113.0,67.548828125,67.548828125,45.9658203125,173.9658203125,32.2158203125,135.0986328125,894.197265625,43.0986328125,3.548828125,21.298828125,85.298828125,194.048828125,13.54931640625
114.0,67.9375,67.6875,46.3544921875,174.3544921875,32.3544921875,135.8759765625,897.751953125,43.3759765625,3.9375,21.6875,85.6875,194.4375,13.68798828125
115.0,67.9375,67.6875,46.3544921875,174.3544921875,32.3544921875,135.8759765625,897.751953125,43.3759765625,3.9375,21.6875,85.6875,194.4375,13.68798828125
116.0,68.32421875,68.07421875,46.7412109375,174.7412109375,32.4912109375,136.6494140625,901.298828125,43.6494140625,4.32421875,21.57421875,85.57421875,194.82421875,13.82470703125
117.0,68.32421875,68.07421875,46.7412109375,174.7412109375,32.4912109375,136.6494140625,901.298828125,43.6494140625,4.32421875,21.57421875,85.57421875,194.82421875,13.82470703125
118.0,68.708984375,68.708984375,47.1259765625,175.1259765625,32.6259765625,137.4189453125,904.837890625,43.9189453125,4.708984375,21.958984375,85.958984375,195.208984375,13.95947265625
119.0,68.708984375,68.708984375,47.1259765625,175.1259765625,32.6259765625,137.4189453125,904.837890625,43.9189453125,4.708984375,21.958984375,85.958984375,195.208984375,13.95947265625
120.0,69.091796875,69.091796875,47.5087890625,175.5087890625,32.7587890625,138.1845703125,908.369140625,44.1845703125,5.091796875,21.841796875,85.841796875,195.591796875,14.09228515625
121.0,69.091796875,69.091796875,47.5087890625,175.5087890625,32.7587890625,138.1845703125,908.369140625,44.1845703125,5.091796875,21.841796875,85.841796875,195.591796875,14.09228515625
122.0,69.47265625,69.22265625,47.8896484375,175.8896484375,32.8896484375,138.9462890625,911.892578125,44.4462890625,5.47265625,22.22265625,86.22265625,195.97265625,14.22314453125
123.0,69.47265625,69.22265625,47.8896484375,175.8896484375,32.8896484375,138.9462890625,911.892578125,44.4462890625,5.47265625,22.22265625,86.22265625,195.97265625,14.22314453125
124.0,69.8515625,69.6015625,48.2685546875,176.2685546875,33.0185546875,139.7041015625,915.408203125,44.7041015625,5.8515625,22.1015625,86.1015625,196.3515625,14.35205078125
125.0,69.8515625,69.6015625,48.2685546875,176.2685546875,33.0185546875,139.7041015625,915.408203125,44.7041015625,5.8515625,22.1015625,86.1015625,196.3515625,14.35205078125
126.0,70.228515625,70.228515625,48.6455078125,176.6455078125,33.1455078125,140.4580078125,918.916015625,44.9580078125,6.228515625,22.478515625,86.478515625,196.728515625,14.47900390625
127.0,70.228515625,70.228515625,48.6455078125,176.6455078125,33.1455078125,140.4580078125,918.916015625,44.9580078125,6.228515625,22.478515625,86.478515625,196.728515625,14.47900390625
128.0,70.603515625,70.603515625,49.0205078125,177.0205078125,33.2705078125,141.2080078125,922.416015625,45.2080078125,6.603515625,22.353515625,86.353515625,197.103515625,6.60400390625
129.0,70.603515625,70.603515625,49.0205078125,177.0205078125,33.2705078125,141.2080078125,922.416015625,45.2080078125,6.603515625,22.353515625,86.353515625,197.103515625,6.60400390625
130.0,70.9765625,70.7265625,49.3935546875,177.3935546875,33.3935546875,141.9541015625,925.908203125,45.4541015625,6.9765625,22.7265625,86.7265625,197.4765625,6.72705078125
131.0,70.9765625,70.7265625,49.3935546875,177.3935546875,33.3935546875,141.9541015625,925.908203125,45.4541015625,6.9765625,22.7265625,86.7265625,197.4765625,6.72705078125
132.0,71.34765625,71.09765625,49.7646484375,177.7646484375,33.5146484375,142.6962890625,929.392578125,45.6962890625,7.34765625,22.59765625,86.59765625,197.84765625,6.84814453125
133.0,71.34765625,71.09765625,49.7646484375,177.7646484375,33.5146484375,142.6962890625,929.392578125,45.6962890625,7.34765625,22.59765625,86.59765625,197.84765625,6.84814453125
134.0,71.716796875,71.716796875,50.1337890625,178.1337890625,33.6337890625,143.4345703125,932.869140625,45.9345703125,7.716796875,22.966796875,86.966796875,198.216796875,6.96728515625
135.0,71.716796875,71.716796875,50.1337890625,178.1337890625,33.6337890625,143.4345703125,932.869140625,45.9345703125,7.716796875,22.966796875,86.966796875,198.216796875,6.96728515625
136.0,72.083984375,72.083984375,50.5009765625,178.5009765625,33.7509765625,144.1689453125,936.337890625,46.1689453125,8.083984375,22.833984375,86.833984375,198.583984375,7.08447265625
137.0,72.083984375,72.083984375,50.5009765625,178.5009765625,33.7509765625,144.1689453125,936.337890625,46.1689453125,8.083984375,22.833984375,86.833984375,198.583984375,7.08447265625
138.0,72.44921875,72.19921875,50.8662109375,178.8662109375,33.8662109375,144.8994140625,939.798828125,46.3994140625,8.44921875,23.19921875,87.19921875,198.94921875,7.19970703125
139.0,72.44921875,72.19921875,50.8662109375,178.8662109375,33.8662109375,144.8994140625,939.798828125,46.3994140625,8.44921875,23.19921875,87.19921875,198.94921875,7.19970703125
140.0,72.8125,72.5625,51.2294921875,179.2294921875,33.9794921875,145.6259765625,943.251953125,46.6259765625,8.8125,23.0625,87.0625,199.3125,7.31298828125
141.0,72.8125,72.5625,51.2294921875,179.2294921875,33.9794921875,145.6259765625,943.251953125,46.6259765625,8.8125,23.0625,87.0625,199.3125,7.31298828125
142.0,73.173828125,73.173828125,51.5908203125,179.5908203125,34.0908203125,146.3486328125,946.697265625,46.8486328125,9.173828125,23.423828125,87.423828125,199.673828125,7.42431640625
143.0,73.173828125,73.173828125,51.5908203125,179.5908203125,34.0908203125,146.3486328125,946.697265625,46.8486328125,9.173828125,23.423828125,87.423828125,199.673828125,7.42431640625
144.0,73.533203125,73.533203125,51.9501953125,179.9501953125,34.2001953125,147.0673828125,950.134765625,47.0673828125,9.533203125,23.283203125,87.283203125,200.033203125,7.53369140625
145.0,73.533203125,73.533203125,51.9501953125,179.9501953125,34.2001953125,147.0673828125,950.134765625,47.0673828125,9.533203125,23.283203125,87.283203125,200.033203125,7.53369140625
146.0,73.890625,73.640625,52.3076171875,180.3076171875,34.3076171875,147.7822265625,953.564453125,47.2822265625,9.890625,23.640625,87.640625,200.390625,7.64111328125
147.0,73.890625,73.640625,52.3076171875,180.3076171875,34.3076171875,147.7822265625,953.564453125,47.2822265625,9.890625,23.640625,87.640625,200.390625,7.64111328125
148.0,74.24609375,73.99609375,52.6630859375,180.6630859375,34.4130859375,148.4931640625,956.986328125,47.4931640625,10.24609375,23.49609375,87.49609375,200.74609375,7.74658203125
149.0,74.24609375,73.99609375,52.6630859375,180.6630859375,34.4130859375,148.4931640625,956.986328125,47.4931640625,10.24609375,23.49609375,87.49609375,200.74609375,7.74658203125
150.0,74.599609375,74.599609375,53.0166015625,181.0166015625,34.5166015625,149.2001953125,960.400390625,47.7001953125,10.599609375,23.849609375,87.849609375,201.099609375,7.85009765625
151.0,74.599609375,74.599609375,53.0166015625,181.0166015625,34.5166015625,149.2001953125,960.400390625,47.7001953125,10.599609375,23.849609375,87.849609375,201.099609375,7.85009765625
152.0,74.951171875,74.951171875,53.3681640625,181.3681640625,34.6181640625,149.9033203125,963.806640625,47.9033203125,10.951171875,23.701171875,87.701171875,201.451171875,7.95166015625
153.0,74.951171875,74.951171875,53.3681640625,181.3681640625,34.6181640625,149.9033203125,963.806640625,47.9033203125,10.951171875,23.701171875,87.701171875,201.451171875,7.95166015625
154.0,75.30078125,75.05078125,53.7177734375,181.7177734375,34.7177734375,150.6025390625,967.205078125,48.1025390625,11.30078125,24.05078125,88.05078125,201.80078125,8.05126953125
155.0,75.30078125,75.05078125,53.7177734375,181.7177734375,34.7177734375,150.6025390625,967.205078125,48.1025390625,11.30078125,24.05078125,88.05078125,201.80078125,8.05126953125
156.0,75.6484375,75.3984375,54.0654296875,182.0654296875,34.8154296875,151.2978515625,970.595703125,48.2978515625,11.6484375,23.8984375,87.8984375,202.1484375,8.14892578125
