freq,db20
 3.389E+06 ,-1.005E+02 
 3.398E+06 ,-1.030E+02 
 3.408E+06 ,-9.671E+01 
 3.418E+06 ,-1.036E+02 
 3.428E+06 ,-1.001E+02 
 3.438E+06 ,-1.026E+02 
 3.447E+06 ,-1.011E+02 
 3.457E+06 ,-1.046E+02 
 3.467E+06 ,-1.035E+02 
 3.477E+06 ,-1.017E+02 
 3.486E+06 ,-9.896E+01 
 3.496E+06 ,-1.031E+02 
 3.506E+06 ,-1.015E+02 
 3.516E+06 ,-1.033E+02 
 3.525E+06 ,-1.021E+02 
 3.535E+06 ,-1.026E+02 
 3.545E+06 ,-1.029E+02 
 3.555E+06 ,-1.021E+02 
 3.564E+06 ,-1.007E+02 
 3.574E+06 ,-1.001E+02 
 3.584E+06 ,-9.384E+01 
 3.594E+06 ,-1.014E+02 
 3.604E+06 ,-1.003E+02 
 3.613E+06 ,-1.172E+02 
 3.623E+06 ,-1.005E+02 
 3.633E+06 ,-1.123E+02 
 3.643E+06 ,-1.028E+02 
 3.652E+06 ,-1.050E+02 
 3.662E+06 ,-1.038E+02 
 3.672E+06 ,-1.048E+02 
 3.682E+06 ,-1.026E+02 
 3.691E+06 ,-1.071E+02 
 3.701E+06 ,-9.712E+01 
 3.711E+06 ,-9.875E+01 
 3.721E+06 ,-1.008E+02 
 3.730E+06 ,-1.038E+02 
 3.740E+06 ,-1.061E+02 
 3.750E+06 ,-1.010E+02 
 3.760E+06 ,-9.745E+01 
 3.770E+06 ,-9.948E+01 
 3.779E+06 ,-1.012E+02 
 3.789E+06 ,-1.009E+02 
 3.799E+06 ,-1.006E+02 
 3.809E+06 ,-1.050E+02 
 3.818E+06 ,-1.050E+02 
 3.828E+06 ,-1.036E+02 
 3.838E+06 ,-9.874E+01 
 3.848E+06 ,-1.048E+02 
 3.857E+06 ,-1.068E+02 
 3.867E+06 ,-1.074E+02 
 3.877E+06 ,-1.032E+02 
 3.887E+06 ,-1.097E+02 
 3.896E+06 ,-1.031E+02 
 3.906E+06 ,-1.048E+02 
 3.916E+06 ,-9.718E+01 
 3.926E+06 ,-9.866E+01 
 3.936E+06 ,-9.806E+01 
 3.945E+06 ,-9.988E+01 
 3.955E+06 ,-9.354E+01 
 3.965E+06 ,-1.022E+02 
 3.975E+06 ,-1.002E+02 
 3.984E+06 ,-1.068E+02 
 3.994E+06 ,-9.854E+01 
 4.004E+06 ,-1.010E+02 
 4.014E+06 ,-9.897E+01 
 4.023E+06 ,-1.126E+02 
 4.033E+06 ,-1.035E+02 
 4.043E+06 ,-1.069E+02 
 4.053E+06 ,-9.890E+01 
 4.062E+06 ,-1.024E+02 
 4.072E+06 ,-1.079E+02 
 4.082E+06 ,-1.093E+02 
 4.092E+06 ,-1.108E+02 
 4.102E+06 ,-1.088E+02 
 4.111E+06 ,-1.011E+02 
 4.121E+06 ,-1.076E+02 
 4.131E+06 ,-9.954E+01 
 4.141E+06 ,-1.107E+02 
 4.150E+06 ,-1.064E+02 
 4.160E+06 ,-1.066E+02 
 4.170E+06 ,-1.026E+02 
 4.180E+06 ,-9.904E+01 
 4.189E+06 ,-9.547E+01 
 4.199E+06 ,-9.932E+01 
 4.209E+06 ,-1.036E+02 
 4.219E+06 ,-1.022E+02 
 4.229E+06 ,-9.778E+01 
 4.238E+06 ,-1.181E+02 
 4.248E+06 ,-9.741E+01 
 4.258E+06 ,-1.005E+02 
 4.268E+06 ,-1.054E+02 
 4.277E+06 ,-1.034E+02 
 4.287E+06 ,-1.017E+02 
 4.297E+06 ,-1.008E+02 
 4.307E+06 ,-9.626E+01 
 4.316E+06 ,-9.931E+01 
 4.326E+06 ,-9.886E+01 
 4.336E+06 ,-1.131E+02 
 4.346E+06 ,-1.028E+02 
 4.355E+06 ,-1.130E+02 
 4.365E+06 ,-1.024E+02 
 4.375E+06 ,-1.031E+02 
 4.385E+06 ,-9.989E+01 
 4.395E+06 ,-1.005E+02 
 4.404E+06 ,-1.011E+02 
 4.414E+06 ,-1.046E+02 
 4.424E+06 ,-1.035E+02 
 4.434E+06 ,-1.053E+02 
 4.443E+06 ,-1.013E+02 
 4.453E+06 ,-1.011E+02 
 4.463E+06 ,-9.553E+01 
 4.473E+06 ,-1.116E+02 
 4.482E+06 ,-9.864E+01 
 4.492E+06 ,-1.040E+02 
 4.502E+06 ,-1.034E+02 
 4.512E+06 ,-1.054E+02 
 4.521E+06 ,-9.525E+01 
 4.531E+06 ,-9.900E+01 
 4.541E+06 ,-1.022E+02 
 4.551E+06 ,-1.014E+02 
 4.561E+06 ,-1.007E+02 
 4.570E+06 ,-1.086E+02 
 4.580E+06 ,-1.027E+02 
 4.590E+06 ,-1.038E+02 
 4.600E+06 ,-1.021E+02 
 4.609E+06 ,-9.925E+01 
 4.619E+06 ,-9.681E+01 
 4.629E+06 ,-1.039E+02 
 4.639E+06 ,-1.149E+02 
 4.648E+06 ,-1.046E+02 
 4.658E+06 ,-9.971E+01 
 4.668E+06 ,-9.863E+01 
 4.678E+06 ,-9.638E+01 
 4.688E+06 ,-9.754E+01 
 4.697E+06 ,-9.889E+01 
 4.707E+06 ,-1.053E+02 
 4.717E+06 ,-1.060E+02 
 4.727E+06 ,-1.087E+02 
 4.736E+06 ,-1.041E+02 
 4.746E+06 ,-1.037E+02 
 4.756E+06 ,-1.027E+02 
 4.766E+06 ,-1.049E+02 
 4.775E+06 ,-1.077E+02 
 4.785E+06 ,-1.020E+02 
 4.795E+06 ,-9.806E+01 
 4.805E+06 ,-1.044E+02 
 4.814E+06 ,-9.780E+01 
 4.824E+06 ,-1.005E+02 
 4.834E+06 ,-9.973E+01 
 4.844E+06 ,-1.027E+02 
 4.854E+06 ,-1.069E+02 
 4.863E+06 ,-1.055E+02 
 4.873E+06 ,-1.013E+02 
 4.883E+06 ,-1.128E+02 
 4.893E+06 ,-1.031E+02 
 4.902E+06 ,-1.035E+02 
 4.912E+06 ,-1.033E+02 
 4.922E+06 ,-1.063E+02 
 4.932E+06 ,-9.898E+01 
 4.941E+06 ,-1.085E+02 
 4.951E+06 ,-1.063E+02 
 4.961E+06 ,-1.078E+02 
 4.971E+06 ,-9.936E+01 
 4.980E+06 ,-1.042E+02 
 4.990E+06 ,-1.061E+02 
