t,vcin_pseudo,vcip_pseudo
 3.75721E-05 , 6.21974E-01 , 6.27986E-01 
 3.78471E-05 , 6.23700E-01 , 6.26299E-01 
 3.81096E-05 , 6.81659E-01 , 5.19343E-01 
 3.83846E-05 , 6.26829E-01 , 6.23114E-01 
 3.86471E-05 , 6.97578E-01 , 5.52549E-01 
 3.88846E-05 , 6.24938E-01 , 6.25057E-01 
 3.91471E-05 , 7.33556E-01 , 6.06064E-01 
 3.94096E-05 , 7.18110E-01 , 3.92090E-01 
 3.96721E-05 , 6.23342E-01 , 6.27393E-01 
 3.99408E-05 , 6.34741E-01 , 6.56198E-01 
 4.01908E-05 , 6.24076E-01 , 6.25874E-01 
 4.04471E-05 , 5.40645E-01 , 7.46894E-01 
 4.06783E-05 , 6.29054E-01 , 6.20903E-01 
 4.09471E-05 , 6.85995E-01 , 5.94565E-01 
 4.12346E-05 , 5.76996E-01 , 6.60654E-01 
 4.14846E-05 , 6.25607E-01 , 6.24838E-01 
 4.17596E-05 , 6.51054E-01 , 5.98954E-01 
 4.20196E-05 , 9.88354E-01 , 2.11646E-01 
 4.22596E-05 , 6.48362E-01 , 6.52820E-01 
 4.25096E-05 , 8.72913E-01 , 2.64584E-01 
 4.27721E-05 , 6.22865E-01 , 6.27196E-01 
 4.30409E-05 , 7.60006E-01 , 4.98452E-01 
 4.33096E-05 , 6.25128E-01 , 6.25371E-01 
 4.35596E-05 , 6.81306E-01 , 6.18036E-01 
 4.38096E-05 , 1.25939E-01 , 9.11432E-01 
 4.40533E-05 , 5.79778E-01 , 6.70221E-01 
 4.43102E-05 , 3.97237E-01 , 8.02764E-01 
 4.45846E-05 , 6.26081E-01 , 6.23945E-01 
 4.48596E-05 , 6.30392E-01 , 6.19590E-01 
 4.51346E-05 , 9.61821E-01 , 2.84941E-01 
 4.53721E-05 , 6.17460E-01 , 6.62314E-01 
 4.56325E-05 , 9.62982E-01 , 2.37018E-01 
 4.58721E-05 , 6.22467E-01 , 6.27549E-01 
 4.61534E-05 , 6.61999E-01 , 5.87959E-01 
 4.64096E-05 , 5.03586E-01 , 6.79386E-01 
 4.66721E-05 , 6.27395E-01 , 6.22649E-01 
 4.69408E-05 , 4.77763E-01 , 8.41316E-01 
 4.71721E-05 , 6.49358E-01 , 6.11326E-01 
 4.74346E-05 , 3.20733E-01 , 9.29224E-01 
 4.76846E-05 , 6.25123E-01 , 6.24934E-01 
 4.79658E-05 , 6.16792E-01 , 6.33153E-01 
 4.82409E-05 , 6.61685E-01 , 5.88326E-01 
 4.84909E-05 , 6.25525E-01 , 6.24554E-01 
 4.87471E-05 , 7.42094E-01 , 5.38467E-01 
 4.89846E-05 , 6.25682E-01 , 6.24375E-01 
 4.92533E-05 , 6.03931E-01 , 6.46067E-01 
 4.95346E-05 , 6.29224E-01 , 6.08427E-01 
 4.97784E-05 , 6.22624E-01 , 6.27545E-01 
 5.00533E-05 , 6.90764E-01 , 6.17889E-01 
 5.03096E-05 , 1.39854E-01 , 8.38441E-01 
 5.05471E-05 , 5.48231E-01 , 7.01773E-01 
