t,v_swsamp
 8.93455E-06 , 9.00000E-01 
 8.93455E-06 ,-9.24446E-33 
 9.00956E-06 , 0.00000E+00 
 9.00956E-06 , 9.00000E-01 
 9.03455E-06 , 9.00000E-01 
 9.03455E-06 , 3.94430E-30 
 9.10956E-06 , 0.00000E+00 
 9.10956E-06 , 9.00000E-01 
 9.13455E-06 , 9.00000E-01 
 9.13455E-06 , 2.35202E-22 
 9.20956E-06 , 0.00000E+00 
 9.20956E-06 , 9.00000E-01 
 9.23455E-06 , 9.00000E-01 
 9.23455E-06 , 8.20944E-13 
 9.27033E-06 , 0.00000E+00 
 9.30956E-06 , 0.00000E+00 
 9.30956E-06 , 9.00000E-01 
 9.33455E-06 , 9.00000E-01 
 9.33455E-06 , 6.94198E-28 
 9.40956E-06 , 0.00000E+00 
 9.40956E-06 , 9.00000E-01 
 9.43455E-06 , 9.00000E-01 
 9.43455E-06 , 9.10818E-21 
 9.50956E-06 , 0.00000E+00 
 9.50956E-06 , 9.00000E-01 
 9.53455E-06 , 9.00000E-01 
 9.53455E-06 , 0.00000E+00 
 9.60956E-06 , 0.00000E+00 
 9.60956E-06 , 9.00000E-01 
 9.63455E-06 , 9.00000E-01 
 9.63455E-06 , 1.54074E-33 
 9.70956E-06 , 0.00000E+00 
 9.70956E-06 , 9.00000E-01 
 9.73455E-06 , 9.00000E-01 
 9.73455E-06 , 3.08149E-32 
 9.80956E-06 , 0.00000E+00 
 9.80956E-06 , 9.00000E-01 
 9.83455E-06 , 9.00000E-01 
 9.83455E-06 , 4.62223E-33 
 9.90956E-06 , 0.00000E+00 
 9.90956E-06 , 9.00000E-01 
 9.93455E-06 , 9.00000E-01 
 9.93455E-06 , 3.08149E-33 
 1.00096E-05 , 0.00000E+00 
 1.00096E-05 , 9.00000E-01 
 1.00345E-05 , 9.00000E-01 
 1.00345E-05 ,-5.39260E-33 
 1.01096E-05 , 0.00000E+00 
 1.01096E-05 , 9.00000E-01 
 1.01345E-05 , 9.00000E-01 
 1.01345E-05 ,-4.93038E-32 
 1.02096E-05 , 0.00000E+00 
 1.02096E-05 , 9.00000E-01 
 1.02345E-05 , 9.00000E-01 
 1.02345E-05 , 5.74936E-20 
 1.03096E-05 , 0.00000E+00 
 1.03096E-05 , 9.00000E-01 
 1.03345E-05 , 9.00000E-01 
 1.03345E-05 , 2.84327E-20 
 1.04096E-05 , 0.00000E+00 
 1.04096E-05 , 9.00000E-01 
 1.04345E-05 , 9.00000E-01 
 1.04345E-05 , 0.00000E+00 
 1.05096E-05 , 0.00000E+00 
 1.05096E-05 , 9.00000E-01 
 1.05345E-05 , 9.00000E-01 
 1.05345E-05 , 0.00000E+00 
 1.06096E-05 , 0.00000E+00 
 1.06096E-05 , 9.00000E-01 
 1.06345E-05 , 9.00000E-01 
 1.06345E-05 ,-4.89094E-29 
 1.07096E-05 , 0.00000E+00 
 1.07096E-05 , 9.00000E-01 
 1.07345E-05 , 9.00000E-01 
 1.07345E-05 ,-1.57772E-29 
 1.08096E-05 , 0.00000E+00 
 1.08096E-05 , 9.00000E-01 
 1.08345E-05 , 9.00000E-01 
 1.08345E-05 , 3.84958E-13 
 1.09096E-05 , 0.00000E+00 
 1.09096E-05 , 9.00000E-01 
 1.09345E-05 , 9.00000E-01 
 1.09345E-05 , 0.00000E+00 
 1.10096E-05 , 0.00000E+00 
 1.10096E-05 , 9.00000E-01 
 1.10345E-05 , 9.00000E-01 
 1.10345E-05 ,-2.90301E-28 
 1.11096E-05 , 0.00000E+00 
 1.11096E-05 , 9.00000E-01 
 1.11345E-05 , 9.00000E-01 
 1.11345E-05 , 3.08149E-33 
 1.12096E-05 , 0.00000E+00 
 1.12096E-05 , 9.00000E-01 
 1.12345E-05 , 9.00000E-01 
 1.12345E-05 ,-3.08149E-33 
 1.13096E-05 , 0.00000E+00 
 1.13096E-05 , 9.00000E-01 
 1.13345E-05 , 9.00000E-01 
 1.13345E-05 , 4.73317E-30 
 1.14096E-05 , 0.00000E+00 
 1.14096E-05 , 9.00000E-01 
 1.14345E-05 , 9.00000E-01 
 1.14345E-05 ,-1.23260E-31 
 1.15096E-05 , 0.00000E+00 
 1.15096E-05 , 9.00000E-01 
 1.15345E-05 , 9.00000E-01 
 1.15345E-05 ,-9.64626E-23 
 1.16096E-05 , 0.00000E+00 
 1.16096E-05 , 9.00000E-01 
 1.16345E-05 , 9.00000E-01 
 1.16345E-05 , 0.00000E+00 
 1.17096E-05 , 0.00000E+00 
 1.17096E-05 , 9.00000E-01 
 1.17345E-05 , 9.00000E-01 
 1.17345E-05 , 2.57102E-13 
 1.18096E-05 , 0.00000E+00 
 1.18096E-05 , 9.00000E-01 
 1.18345E-05 , 9.00000E-01 
 1.18345E-05 , 2.17521E-19 
 1.19096E-05 , 0.00000E+00 
 1.19096E-05 , 9.00000E-01 
 1.19345E-05 , 9.00000E-01 
 1.19345E-05 ,-5.39260E-33 
 1.20096E-05 , 0.00000E+00 
 1.20096E-05 , 9.00000E-01 
 1.20345E-05 , 9.00000E-01 
 1.20345E-05 , 3.85186E-33 
 1.21096E-05 , 0.00000E+00 
 1.21096E-05 , 9.00000E-01 
 1.21345E-05 , 9.00000E-01 
 1.21345E-05 ,-3.53410E-28 
 1.22096E-05 , 0.00000E+00 
 1.22096E-05 , 9.00000E-01 
 1.22345E-05 , 9.00000E-01 
 1.22345E-05 , 4.62223E-33 
 1.23096E-05 , 0.00000E+00 
 1.23096E-05 , 9.00000E-01 
 1.23345E-05 , 9.00000E-01 
 1.23345E-05 , 0.00000E+00 
 1.24096E-05 , 0.00000E+00 
 1.24096E-05 , 9.00000E-01 
 1.24345E-05 , 9.00000E-01 
 1.24345E-05 , 2.02750E-24 
 1.25096E-05 , 0.00000E+00 
 1.25096E-05 , 9.00000E-01 
 1.25345E-05 , 9.00000E-01 
 1.25345E-05 ,-5.04810E-39 
 1.26096E-05 , 0.00000E+00 
 1.26096E-05 , 9.00000E-01 
 1.26345E-05 , 9.00000E-01 
 1.26345E-05 , 0.00000E+00 
 1.27096E-05 , 0.00000E+00 
 1.27096E-05 , 9.00000E-01 
 1.27345E-05 , 9.00000E-01 
 1.27345E-05 ,-5.55358E-28 
 1.28096E-05 , 0.00000E+00 
 1.28096E-05 , 9.00000E-01 
 1.28345E-05 , 9.00000E-01 
 1.28345E-05 , 3.99116E-18 
 1.29096E-05 , 0.00000E+00 
 1.29096E-05 , 9.00000E-01 
 1.29345E-05 , 9.00000E-01 
 1.29345E-05 ,-3.08149E-33 
 1.30096E-05 , 0.00000E+00 
 1.30096E-05 , 9.00000E-01 
 1.30345E-05 , 9.00000E-01 
 1.30345E-05 ,-2.31112E-33 
 1.31096E-05 , 0.00000E+00 
 1.31096E-05 , 9.00000E-01 
 1.31345E-05 , 9.00000E-01 
 1.31345E-05 ,-9.86076E-32 
 1.32096E-05 , 0.00000E+00 
 1.32096E-05 , 9.00000E-01 
 1.32345E-05 , 9.00000E-01 
 1.32345E-05 ,-3.08149E-33 
 1.33096E-05 , 0.00000E+00 
 1.33096E-05 , 9.00000E-01 
 1.33345E-05 , 9.00000E-01 
 1.33345E-05 , 2.72066E-13 
 1.34096E-05 , 0.00000E+00 
 1.34096E-05 , 9.00000E-01 
 1.34345E-05 , 9.00000E-01 
 1.34345E-05 , 6.51266E-22 
 1.35096E-05 , 0.00000E+00 
 1.35096E-05 , 9.00000E-01 
 1.35345E-05 , 9.00000E-01 
 1.35345E-05 ,-9.24446E-33 
 1.36096E-05 , 0.00000E+00 
 1.36096E-05 , 9.00000E-01 
 1.36345E-05 , 9.00000E-01 
 1.36345E-05 ,-6.16298E-33 
 1.37096E-05 , 0.00000E+00 
 1.37096E-05 , 9.00000E-01 
 1.37345E-05 , 9.00000E-01 
 1.37345E-05 , 5.55358E-28 
 1.38096E-05 , 0.00000E+00 
 1.38096E-05 , 9.00000E-01 
 1.38345E-05 , 9.00000E-01 
 1.38345E-05 , 0.00000E+00 
 1.39096E-05 , 0.00000E+00 
 1.39096E-05 , 9.00000E-01 
 1.39345E-05 , 9.00000E-01 
 1.39345E-05 , 0.00000E+00 
 1.40096E-05 , 0.00000E+00 
 1.40096E-05 , 9.00000E-01 
 1.40345E-05 , 9.00000E-01 
 1.40345E-05 ,-3.83702E-27 
 1.41096E-05 , 0.00000E+00 
 1.41096E-05 , 9.00000E-01 
 1.41345E-05 , 9.00000E-01 
 1.41345E-05 , 2.66778E-21 
 1.42096E-05 , 0.00000E+00 
 1.42096E-05 , 9.00000E-01 
 1.42345E-05 , 9.00000E-01 
 1.42345E-05 ,-1.54074E-33 
 1.43096E-05 , 0.00000E+00 
 1.43096E-05 , 9.00000E-01 
 1.43345E-05 , 9.00000E-01 
 1.43345E-05 , 2.03608E-20 
 1.44096E-05 , 0.00000E+00 
 1.44096E-05 , 9.00000E-01 
 1.44345E-05 , 9.00000E-01 
 1.44345E-05 ,-5.04871E-39 
 1.45096E-05 , 0.00000E+00 
 1.45096E-05 , 9.00000E-01 
 1.45345E-05 , 9.00000E-01 
 1.45345E-05 , 4.43376E-18 
 1.46096E-05 , 0.00000E+00 
 1.46096E-05 , 9.00000E-01 
 1.46345E-05 , 9.00000E-01 
 1.46345E-05 , 0.00000E+00 
 1.47096E-05 , 0.00000E+00 
 1.47096E-05 , 9.00000E-01 
 1.47345E-05 , 9.00000E-01 
 1.47345E-05 , 2.69985E-13 
 1.48096E-05 , 0.00000E+00 
 1.48096E-05 , 9.00000E-01 
 1.48345E-05 , 9.00000E-01 
 1.48345E-05 , 1.84889E-32 
 1.49096E-05 , 0.00000E+00 
 1.49096E-05 , 9.00000E-01 
 1.49345E-05 , 9.00000E-01 
 1.49345E-05 , 2.36674E-19 
 1.50096E-05 , 0.00000E+00 
 1.50096E-05 , 9.00000E-01 
 1.50345E-05 , 9.00000E-01 
 1.50345E-05 , 9.24446E-33 
 1.51096E-05 , 0.00000E+00 
 1.51096E-05 , 9.00000E-01 
 1.51345E-05 , 9.00000E-01 
 1.51345E-05 , 1.54074E-33 
 1.52096E-05 , 0.00000E+00 
 1.52096E-05 , 9.00000E-01 
 1.52345E-05 , 9.00000E-01 
 1.52345E-05 , 2.68461E-20 
 1.53096E-05 , 0.00000E+00 
 1.53096E-05 , 9.00000E-01 
 1.53345E-05 , 9.00000E-01 
 1.53345E-05 , 4.62223E-33 
 1.54096E-05 , 0.00000E+00 
 1.54096E-05 , 9.00000E-01 
 1.54345E-05 , 9.00000E-01 
 1.54345E-05 ,-2.31112E-33 
 1.55096E-05 , 0.00000E+00 
 1.55096E-05 , 9.00000E-01 
 1.55345E-05 , 9.00000E-01 
 1.55345E-05 ,-7.70372E-33 
 1.56096E-05 , 0.00000E+00 
 1.56096E-05 , 9.00000E-01 
 1.56345E-05 , 9.00000E-01 
 1.56345E-05 ,-6.16298E-33 
 1.57096E-05 , 0.00000E+00 
 1.57096E-05 , 9.00000E-01 
 1.57345E-05 , 9.00000E-01 
 1.57345E-05 ,-1.97215E-30 
 1.58096E-05 , 0.00000E+00 
 1.58096E-05 , 9.00000E-01 
 1.58345E-05 , 9.00000E-01 
 1.58345E-05 , 0.00000E+00 
 1.59096E-05 , 0.00000E+00 
 1.59096E-05 , 9.00000E-01 
 1.59345E-05 , 9.00000E-01 
 1.59345E-05 , 5.50143E-21 
 1.60096E-05 , 0.00000E+00 
 1.60096E-05 , 9.00000E-01 
 1.60345E-05 , 9.00000E-01 
 1.60345E-05 , 1.54074E-33 
 1.61096E-05 , 0.00000E+00 
 1.61096E-05 , 9.00000E-01 
 1.61345E-05 , 9.00000E-01 
 1.61345E-05 ,-7.88861E-31 
 1.62096E-05 , 0.00000E+00 
 1.62096E-05 , 9.00000E-01 
 1.62345E-05 , 9.00000E-01 
 1.62345E-05 ,-1.23260E-32 
 1.63096E-05 , 0.00000E+00 
 1.63096E-05 , 9.00000E-01 
 1.63345E-05 , 9.00000E-01 
 1.63345E-05 , 0.00000E+00 
 1.64096E-05 , 0.00000E+00 
 1.64096E-05 , 9.00000E-01 
 1.64345E-05 , 9.00000E-01 
 1.64345E-05 ,-1.97215E-31 
 1.65096E-05 , 0.00000E+00 
 1.65096E-05 , 9.00000E-01 
 1.65345E-05 , 9.00000E-01 
 1.65345E-05 ,-4.46677E-22 
 1.66096E-05 , 0.00000E+00 
 1.66096E-05 , 9.00000E-01 
 1.66345E-05 , 9.00000E-01 
 1.66345E-05 ,-2.46944E-24 
 1.67096E-05 , 0.00000E+00 
 1.67096E-05 , 9.00000E-01 
 1.67345E-05 , 9.00000E-01 
 1.67345E-05 , 1.54074E-33 
 1.68096E-05 , 0.00000E+00 
 1.68096E-05 , 9.00000E-01 
 1.68345E-05 , 9.00000E-01 
 1.68345E-05 , 2.43601E-20 
 1.69096E-05 , 0.00000E+00 
 1.69096E-05 , 9.00000E-01 
 1.69345E-05 , 9.00000E-01 
 1.69345E-05 , 0.00000E+00 
 1.70096E-05 , 0.00000E+00 
 1.70096E-05 , 9.00000E-01 
 1.70345E-05 , 9.00000E-01 
 1.70345E-05 ,-3.85186E-33 
 1.71096E-05 , 0.00000E+00 
 1.71096E-05 , 9.00000E-01 
 1.71345E-05 , 9.00000E-01 
 1.71345E-05 ,-1.07199E-21 
 1.72096E-05 , 0.00000E+00 
 1.72096E-05 , 9.00000E-01 
 1.72345E-05 , 9.00000E-01 
